Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Domantas Sabonis,PF,2231,2.3,1.6,3.3,sabondo01,IND,2021
Justin Holiday,SG,2183,-0.9,-0.1,0.6,holidju01,IND,2021
Malcolm Brogdon,PG,1930,3.0,-0.9,2.0,brogdma01,IND,2021
T.J. McConnell,PG,1796,-0.2,1.7,1.5,mccontj01,IND,2021
Doug McDermott,PF,1619,1.4,-2.0,0.6,mcderdo01,IND,2021
Myles Turner,C,1455,-1.6,2.0,0.9,turnemy01,IND,2021
Aaron Holiday,PG,1176,-3.3,-0.9,-0.7,holidaa01,IND,2021
Caris LeVert,SG,1152,0.5,-0.5,0.6,leverca01,IND,2021
Edmond Sumner,SG,861,-2.3,-0.5,-0.2,sumneed01,IND,2021
Jeremy Lamb,SG,765,0.7,0.7,0.7,lambje01,IND,2021
Goga Bitadze,C,561,-2.0,1.0,0.1,bitadgo01,IND,2021
Oshae Brissett,SF,519,1.1,-0.5,0.3,brissos01,IND,2021
Kelan Martin,SF,322,-1.1,-1.3,0.0,martike03,IND,2021
JaKarr Sampson,PF,316,-5.2,-2.3,-0.4,sampsja02,IND,2021
Victor Oladipo,SG,300,0.0,-0.1,0.1,oladivi01,IND,2021
T.J. Warren,SF,117,-3.6,-1.9,-0.1,warretj01,IND,2021
Cassius Stanley,SG,93,-7.2,-4.0,-0.2,stanlca01,IND,2021
Amida Brimah,C,29,-6.2,1.4,0.0,brimaam01,IND,2021
Brian Bowen,SF,15,-8.1,-2.9,0.0,bowenbr02,IND,2021
Jalen Lecque,PG,12,-6.6,-6.3,0.0,lecquja01,IND,2021
