Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Royce O'Neale,SF,2241,-1.2,2.1,1.7,onealro01,UTA,2021
Bojan Bogdanović,SF,2216,0.2,-0.7,0.9,bogdabo02,UTA,2021
Rudy Gobert,C,2187,2.1,2.8,3.8,goberru01,UTA,2021
Joe Ingles,SF,1867,2.6,0.9,2.6,inglejo01,UTA,2021
Jordan Clarkson,SG,1818,1.8,-0.4,1.6,clarkjo01,UTA,2021
Donovan Mitchell,PG,1771,4.6,-0.2,2.8,mitchdo01,UTA,2021
Mike Conley,PG,1498,3.6,1.3,2.6,conlemi01,UTA,2021
Georges Niang,PF,1154,-0.4,0.1,0.5,niangge01,UTA,2021
Derrick Favors,C,1039,0.3,2.4,1.2,favorde01,UTA,2021
Miye Oni,SG,519,-3.0,1.3,0.0,onimi01,UTA,2021
Trent Forrest,PG,302,-2.5,1.2,0.1,forretr01,UTA,2021
Ersan İlyasova,PF,148,-2.5,1.7,0.0,ilyaser01,UTA,2021
Juwan Morgan,PF,147,-3.5,1.2,0.0,morgaju01,UTA,2021
Jarrell Brantley,PF,138,0.6,1.6,0.1,brantja01,UTA,2021
Matt Thomas,SG,134,-3.5,-2.0,-0.1,thomama02,UTA,2021
Elijah Hughes,SF,64,-1.4,-1.3,0.0,hugheel01,UTA,2021
Udoka Azubuike,C,57,-5.5,1.7,0.0,azubuud01,UTA,2021
Shaquille Harrison,SG,56,-6.4,-0.3,-0.1,harrish01,UTA,2021
