Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Duncan Robinson,SF,2262,-0.2,-0.8,0.6,robindu01,MIA,2021
Bam Adebayo,C,2143,2.9,2.0,3.7,adebaba01,MIA,2021
Jimmy Butler,SF,1745,5.4,2.3,4.3,butleji01,MIA,2021
Kendrick Nunn,PG,1650,-0.1,-0.4,0.6,nunnke01,MIA,2021
Tyler Herro,SG,1635,-0.3,-1.0,0.3,herroty01,MIA,2021
Andre Iguodala,SF,1339,-2.2,1.8,0.5,iguodan01,MIA,2021
Goran Dragić,PG,1337,-1.1,-1.3,-0.1,dragigo01,MIA,2021
Kelly Olynyk,C,1157,-1.6,1.0,0.4,olynyke01,MIA,2021
Trevor Ariza,SF,841,-1.2,0.1,0.2,arizatr01,MIA,2021
Precious Achiuwa,PF,737,-3.6,-0.5,-0.4,achiupr01,MIA,2021
Gabe Vincent,PG,655,-4.5,-0.9,-0.6,vincega01,MIA,2021
Max Strus,SF,507,-0.5,-1.7,0.0,strusma01,MIA,2021
KZ Okpala,PF,447,-6.5,-0.6,-0.6,okpalkz01,MIA,2021
Avery Bradley,SG,211,-2.5,0.1,0.0,bradlav01,MIA,2021
Dewayne Dedmon,C,210,1.2,0.5,0.2,dedmode01,MIA,2021
Nemanja Bjelica,PF,156,-1.8,0.4,0.0,bjeline01,MIA,2021
Maurice Harkless,SF,124,-3.5,0.7,0.0,harklma01,MIA,2021
Victor Oladipo,SG,111,-7.1,-1.6,-0.2,oladivi01,MIA,2021
Chris Silva,PF,83,-5.3,1.4,0.0,silvach01,MIA,2021
Meyers Leonard,C,29,-3.3,-0.4,0.0,leoname01,MIA,2021
Udonis Haslem,C,3,24.1,7.0,0.0,hasleud01,MIA,2021
