Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jayson Tatum,SF,2290,4.2,-0.3,3.4,tatumja01,BOS,2021
Jaylen Brown,SG,1999,3.2,-0.7,2.3,brownja02,BOS,2021
Marcus Smart,PG,1581,-0.4,0.2,0.7,smartma01,BOS,2021
Kemba Walker,PG,1369,2.8,-0.7,1.4,walkeke02,BOS,2021
Tristan Thompson,C,1287,-1.5,-1.0,-0.2,thomptr01,BOS,2021
Payton Pritchard,SG,1268,-0.3,-0.4,0.4,pritcpa01,BOS,2021
Grant Williams,PF,1138,-4.0,0.3,-0.5,willigr01,BOS,2021
Daniel Theis,C,1027,-0.6,1.0,0.6,theisda01,BOS,2021
Robert Williams,C,985,2.9,3.1,2.0,williro04,BOS,2021
Semi Ojeleye,PF,950,-1.7,-0.7,-0.1,ojelese01,BOS,2021
Aaron Nesmith,SF,669,-2.8,-0.4,-0.2,nesmiaa01,BOS,2021
Jeff Teague,PG,616,-2.4,-0.3,-0.1,teaguje01,BOS,2021
Evan Fournier,SF,472,0.1,0.1,0.3,fournev01,BOS,2021
Javonte Green,SF,345,-1.7,1.3,0.1,greenja02,BOS,2021
Romeo Langford,SG,283,-4.9,0.2,-0.2,langfro01,BOS,2021
Carsen Edwards,SG,276,-3.2,-1.3,-0.2,edwarca01,BOS,2021
Luke Kornet,C,254,-0.8,1.8,0.2,kornelu01,BOS,2021
Tremont Waters,PG,238,0.4,-0.1,0.1,watertr01,BOS,2021
Jabari Parker,PF,138,0.4,0.2,0.1,parkeja01,BOS,2021
Tacko Fall,C,136,-1.7,2.9,0.1,fallta01,BOS,2021
Moritz Wagner,C,61,-10.0,-0.3,-0.1,wagnemo01,BOS,2021
