Player,Player-additional
Russell Westbrook,westbru01
Bradley Beal,bealbr01
Rui Hachimura,hachiru01
Dāvis Bertāns,bertada01
Raul Neto,netora01
Robin Lopez,lopezro01
Deni Avdija,avdijde01
Garrison Mathews,mathega01
Ish Smith,smithis01
Alex Len,lenal01
Isaac Bonga,bongais01
Daniel Gafford,gaffoda01
Moritz Wagner,wagnemo01
Jerome Robinson,robinje01
Troy Brown Jr.,browntr01
Chandler Hutchison,hutchch01
Thomas Bryant,bryanth01
Anthony Gill,gillan01
Cassius Winston,winstca01
Jordan Bell,belljo01
Anžejs Pasečņiks,pasecan01
Andrew Wiggins,wiggian01
Stephen Curry,curryst01
Draymond Green,greendr01
Kelly Oubre Jr.,oubreke01
Kent Bazemore,bazemke01
Kevon Looney,looneke01
Juan Toscano-Anderson,toscaju01
Damion Lee,leeda03
Jordan Poole,poolejo01
James Wiseman,wisemja01
Mychal Mulder,muldemy01
Eric Paschall,pascher01
Brad Wanamaker,wanambr01
Nico Mannion,mannini01
Alen Smailagić,smailal01
Gary Payton II,paytoga02
Marquese Chriss,chrisma01
Jordan Bell,belljo01
Anthony Edwards,edwaran01
Ricky Rubio,rubiori01
Karl-Anthony Towns,townska01
Jaden McDaniels,mcdanja02
Naz Reid,reidna01
Malik Beasley,beaslma01
Josh Okogie,okogijo01
D'Angelo Russell,russeda01
Jarred Vanderbilt,vandeja01
Jordan McLaughlin,mclaujo01
Juancho Hernangómez,hernaju01
Jaylen Nowell,nowelja01
Jake Layman,laymaja01
Jarrett Culver,culveja01
Ed Davis,davised01
Ashton Hagans,haganas01
Théo Maledon,maledth01
Darius Bazley,bazleda01
Luguentz Dort,dortlu01
Kenrich Williams,willike04
Isaiah Roby,robyis01
Shai Gilgeous-Alexander,gilgesh01
Aleksej Pokusevski,pokusal01
Moses Brown,brownmo01
Ty Jerome,jeromty01
Al Horford,horfoal01
Hamidou Diallo,diallha01
Svi Mykhailiuk,mykhasv01
Mike Muscala,muscami01
Justin Jackson,jacksju01
Tony Bradley,bradlto01
George Hill,hillge01
Josh Hall,halljo01
Jaylen Hoard,hoardja01
Gabriel Deck,deckga01
Darius Miller,milleda01
Charlie Brown Jr.,brownch02
Justin Robinson,robinju01
Mikal Bridges,bridgmi01
Devin Booker,bookede01
Chris Paul,paulch01
Deandre Ayton,aytonde01
Jae Crowder,crowdja01
Cameron Johnson,johnsca02
Cameron Payne,payneca01
Dario Šarić,saricda01
Jevon Carter,carteje01
Frank Kaminsky,kaminfr01
Torrey Craig,craigto01
Langston Galloway,gallola01
E'Twaun Moore,mooreet01
Abdel Nader,naderab01
Jalen Smith,smithja04
Damian Jones,jonesda03
Ty-Shon Alexander,alexaty01
Dejounte Murray,murrade01
DeMar DeRozan,derozde01
Keldon Johnson,johnske04
Jakob Poeltl,poeltja01
Patty Mills,millspa02
Lonnie Walker IV,walkelo01
Rudy Gay,gayru01
Derrick White,whitede01
Devin Vassell,vassede01
Drew Eubanks,eubandr01
LaMarcus Aldridge,aldrila01
Trey Lyles,lylestr01
Luka Šamanić,samanlu01
Tre Jones,jonestr01
Keita Bates-Diop,bateske01
Gorgui Dieng,dienggo01
Quinndary Weatherspoon,weathqu01
Cameron Reynolds,reynoca01
Jae'Sean Tate,tateja01
Christian Wood,woodch01
John Wall,walljo01
Sterling Brown,brownst02
KJ Martin,martike04
P.J. Tucker,tuckepj01
Danuel House Jr.,houseda01
Kelly Olynyk,olynyke01
Kevin Porter Jr.,porteke02
Eric Gordon,gordoer01
David Nwaba,nwabada01
Victor Oladipo,oladivi01
Ben McLemore,mclembe01
Armoni Brooks,brookar01
